1,착한붕어 낚시카페,기타,"서울특별시 종로구 대학로8가길 52, 지하1층 (동숭동)",서울특별시 종로구 동숭동 1-48 지하1층,37.582964,127.002648,02-741-1733,48.3,붕어,20,없음,"1시간(성인:10천원, 초,중,고 학생:9천원)",,명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,02-2148-2276,종로구청,2020-07-09
2,붕어의 신,기타,서울특별시 양천구 신월로 321,서울특별시 양천구 신정동 977-16,37.5217038,126.8565155,02-2603-2266,49.49,붕어,20,없음,"1시간(남 10천, 여9천, 커플18천, 청소년 7천, 아동 5천)  1시간 추가시 요금 발생",실내낚시터,명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,02-2620-4816,서울특별시 양천구,2020-05-30
3,가자실내낚시터,기타,서울특별시 양천구 지양로 34,서울특별시 양천구 신월동 991-12,37.519435,126.8363231,02-2691-2733,33,붕어,19,없음,"1시간(남 10천, 여10천, 아동 8천)",실내낚시터,명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,02-2620-4816,서울특별시 양천구,2020-05-30
4,입큰붕어낚시카페,기타,"서울특별시 은평구 은평로 101, 지하1층 (응암동)",서울특별시 은평구 응암동 90-14,,,,185,-,30,-,"10,000원/시간",,-,-,,,구본진,2021-06-30
5,잉어킹낚시카페,기타,"서울특별시 은평구 연서로26길 8, 지하1층 (대조동)",서울특별시 은평구 대조동 200-2,,,,63,민물고기,24,-,"10,000원/시간",,구급함 구비,음료 자판대,,,엄기숙,2021-06-30
