1,새마을낚시터,저수지,경상북도 경주시 내남면 내남로 393-20,경상북도 경주시 내남면 망성리 443번지,35.78205433,129.1865307,,8443,붕어+잉어,40,부유형,"10,000원/일",,구명부환2+소화기4+구명조끼6+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
2,삼괴정낚시터,저수지,경상북도 경주시 강동면 다산길 117,경상북도 경주시 강동면 다산리 250번지,36.04980649,129.2594352,,6384,붕어+잉어,50,부유형,"30,000원/일",,구명부환1+소화기1+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
3,동산낚시터,저수지,경상북도 경주시 천북면 천강로 123-5,경상북도 경주시 천북면 동산리 206,35.90181187,129.275109,,9235,붕어+잉어,50,부유형,"30,000원/일",,구명부환1+소화기1+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
4,덕방낚시터,저수지,경상북도 경주시 외동읍 덕방지길 19-38,경상북도 경주시 외동읍 냉천리 342번지 13호,35.70590206,129.297816,,3700,붕어+잉어,30,부유형,"30,000원/일",,구명부환2+소화기3+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
5,인동낚시터,저수지,경상북도 경주시 강동면 인좌안길 6-1,경상북도 경주시 강동면 인동리 507번지,35.98661005,129.2624603,,19574,붕어+잉어,20,부유형,"10,000원/일",,구명부환2+소화기1+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
6,광지낚시터,저수지,경상북도 경주시 건천읍 천포방내길 98-9,경상북도 경주시 건천읍 조전리 546번지 4호,35.83813866,129.0986789,,10810,붕어+잉어,20,부유형,"25,000원/일",,구명부환1+소화기1+구급약품1,화장실1+세면소1,,054-779-6324,경상북도 경주시청,2020-06-22
7,매전낚시터,저수지,경상북도 청도군 매전면 온장길 142,경상북도 청도군 매전면 호화리 752-71,35.637162,128.851936,,3600,"붕어, 잉어",30,고정형,1일 15000원,,"구명부환, 소화기, 구급약품",화장실,"동창천유원지, 오토캠핑장",054-370-6553,경상북도 청도군청,2022-05-31
8,구봉낚시터,저수지,경상북도 칠곡군 지천면 낙산로5길 144-55,경상북도 칠곡군 지천면 낙산리 655-4,35.942340,128.511751,,6000,잉어+붕어,85,고정형,"30,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,,경상북도 칠곡군청,2020-06-24
9,호암지낚시터,저수지,경상북도 칠곡군 약목면 남계리 1046,경상북도 칠곡군 약목면 남계리 1046,36.024887,128.355128,,28000,잉어+붕어,80,고정형,"10,000원",,구명부환+구명조끼+소화기+구급약품,화장실+휴게실+오물처리장,,,경상북도 칠곡군청,2020-06-24
10,도속지낚시터,저수지,경상북도 칠곡군 북삼읍 오평리 1381,경상북도 칠곡군 북삼읍 오평리 1381,36.055072,128.368072,,16561,잉어+붕어,80,고정형,"10,000원",,구명부환+구명조끼+소화기+구급약품,휴게실+급수시설+화장실,,,경상북도 칠곡군청,2020-06-24
11,천평지낚시터,저수지,경상북도 칠곡군 가산면 금화리 36외 25필지,경상북도 칠곡군 가산면 금화리 36외 25필지,36.076021,128.549696,,32190,잉어+붕어,40,고정형,"25,000원",,구명부환+구명조끼+소화기+구급약품,화장실+주차장,,,경상북도 칠곡군청,2020-06-24
12,봇또랑낚시터,기타,"경상북도 칠곡군 북삼읍 율리 549-5,551-2,551-3,553-5,549-5","경상북도 칠곡군 북삼읍 율리 549-5,551-2,551-3,553-5,549-5",36.054527,128.340378,,343,잉어+붕어+송어,100,고정형,"10,000원",,구명부환+구명조끼+소화기+구급약품,화장실,,,경상북도 칠곡군청,2020-06-24
13,지동낚시터,기타,경상북도 안동시 임동면 고천지촌로 1061,경상북도 안동시 임동면 지리 383-21,36.5068753324,128.9941228709,,64000,"쏘가리, 붕어, 잉어, 메기",50,고정형,2023년 4월 1일 까지 휴업,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,도산서원+하회마을+안동댐+임하댐,054-840-3843,경상북도 안동시,2022-06-29
14,장기낚시터,기타,경상북도 안동시 북후면 북평로 697-16,경상북도 안동시 북후면 장기리 624-1,36.6699333568,128.7024187730,054-859-5229,2119,"붕어, 잉어, 메기",30,고정형,"1일 20,000원",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,도산서원+하회마을+안동댐+임하댐,054-840-3843,경상북도 안동시,2022-06-29
15,선어대낚시터,기타,경상북도 안동시 남선면 기느리길 252,경상북도 안동시 남선면 신석리 975,36.5444531618,128.7738989775,,448,"붕어, 잉어, 메기",30,고정형,"1일 10,000원",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,054-840-3843,경상북도 안동시,2022-06-29
16,평은낚시터,저수지,경상북도 영주시 평은면 강동로410번길 24,경상북도 영주시 평은면 강동리 970,36.71467002,128.6879693,,1666,"붕어, 잉어",40,고정형,"30,000원",,"구명환, 구명조끼","화장실, 분리수거통",영주댐,054-639-7591,경상북도 영주시청,2022-12-16
17,파지낚시터,저수지,"경상북도 영주시 장수면 장수로 827, 파지리낚시터",경상북도 영주시 장수면 파지리 218-1 파지리낚시터,36.8021328,128.5475622,,1149,"붕어, 잉어",30,고정형,"15,000원",,"구명환, 구명조끼","화장실, 분리수거통",정도전생가,054-639-7591,경상북도 영주시청,2022-12-16
18,귀내낚시터,저수지,,경상북도 영주시 고현동 412-50,36.837674,128.6173471,,8804,"붕어, 잉어",60,고정형,"20,000원 30,000원(장비 대여시)",,"구명환, 구명조끼","화장실, 분리수거통",소수서원,054-639-7591,경상북도 영주시청,2022-12-16
19,이천낚시터,평지,경상북도 상주시 외서면 이천2길83,경상북도 상주시 외서면 이천리 215-4,36.47767421,128.1395139,054-531-0313,6360,잉어,90,없음,"10,000원",,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7464,상주시청,2022-11-24
20,세천낚시터,평지,경상북도 상주시 외서면 서당골길 28,경상북도 상주시 외서면 관동리 282-10,36.46930111,128.1652661,054-532-7048,2345,잉어,60,없음,"5,000원",,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7464,상주시청,2022-11-24
21,대박낚시터,평지,경상북도 상주시 낙상동 832,경상북도 상주시 낙상동 832,36.4570463,128.200855,054-535-5857,266,"장어,바다가재,잉어",40,없음,"20,000원",,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7464,상주시청,2022-11-24
22,평사낚시터,저수지,경상북도 경산시 진량읍 평사리 42-2,,35.885324,128.868753,053-810-6708,1255,잉어+향어,103,고정형,"20,000원",,구명줄+구명부환+구급상자+소화기,낚시용품 사무실,,053-810-6708,경상북도 경산시청,2020-12-10
23,두메낚시터,계곡,경상북도 경산시 남천면 신방길 39,,35.7604994,128.7755026,053-813-7980,2244,메기+붕어+잉어,20,고정형,30000원,,구명줄+구명부환+소화기,낚시용품 사무실,,053-810-6708,경상북도 경산시청,2020-12-10
24,명포낚시터,평지,경상북도 성주군 선남면 명포리 15,부산광역시 북구 금곡동 55-2,35.882386,128.331951,051-365-2782,1184,붕어,50,고정형,"평일 10,000, 주말 15,000",,구명조끼+밧줄,휴게실+화장실,없음,051-309-4474,경상북도 성주군청,2020-12-22
25,나곡바다낚시공원,바다,"경상북도 울진군 북면 석호1길 46-62, 나곡바다낚시공원 종합관",경상북도 울진군 북면 나곡리 30-2 나곡바다낚시공원 종합관,37.11825867,129.3768916,054-781-8037,20000,"광어,우럭,강도다리",50,낚시잔교,5000,,"구명부이, 소화기,구급약품","화장실,세면대,쓰레기통","덕구계곡,덕구온천, 울진봉평리신라비전시관,원자력전시관",054-789-6452,울진군,2022-11-30
26,울진시범바다목장해상낚시,바다,경상북도 울진군 평해읍 울진대게로 521-2,경상북도 울진군 평해읍 거일리 282-6,36.69906644,129.4756391,054-788-3911,197067,강도다리,200,낚시잔교,5000,,"구명부이, 소화기,구급약품","화장실,세면대,쓰레기통","월송정, 백암온천,울진대게홍보전시관",051-740-2551,한국수산자원관리공단,2022-11-30
27,대물낚시터,기타,경상북도 포항시 북구 기계면 봉좌로383번길 32-2,경상북도 포항시 북구 기계면 봉계리 517-1,36.08236536,129.1615819,,4625,"붕어,메기",50,수상좌대,"30,000원",,"구명조끼, 구명부환, 소화기",취사시설,봉좌마을,054-270-2754,경상북도 포항시 수산진흥과,2020-08-24
28,봉곡낚시터,평지,경상북도 김천시 농소면 봉곡리 67-3,,36.0708872,128.1857889,,0.03,잉어,50,고정형,10000,,구명환,없음,,,김천시 축산과,2021-10-14
29,조마낚시터,평지,경상북도 김천시 조마면 강곡리 622-1,,36.0356454,128.087775,,0.08,잉어,50,고정형,10000,,소화기,없음,,,김천시 축산과,2021-10-14
30,아포사계절낚시터,저수지,경상북도 김천시 아포읍 제석리 1431-7,,36.1464838,128.2202,,0.31,잉어,80,고정형,10000,,구명보트,식당,,,김천시 축산과,2021-10-14
