1,자바라,기타,전라북도 전주시 완산구 평화로 69,전라북도 전주시 완산구 평화동2가 909-3,35.7830203,127.1331617,063-228-5557,55,잉어,43,고정형,1일 10000원,,구명부환+구급약,휴게실+흡연실,모악산,063-281-6699,전라북도 전주시청,2021-10-20
2,송현낚시터,평지,"전라북도 완주군 고산면 남봉로 5-98, 송현낚시터",전라북도 완주군 고산면 남봉리 470-12 송현낚시터,35.9679,127.1867,,12551,"붕어, 송어",100,고정형,"20,000원",,구명부환+구명조끼+소화기 등,화장실+매점+분리수거통,,,완주군 농업축산과,2021-10-20
3,산외 강현낚시터,기타,전라북도 정읍시 산외면 상두1길 11-17,전라북도 정읍시 산외면 화죽리 613-1,35.6315183,127.0596968,063-532-1112,5570,"붕어,잉어,기타 내수면어종",100,방갈로 48동,"08시~22시 / 25,000원08시~익일 08시 / 50,000원",,구명부환+소화기+구급약품,화장실,,063-539-6236,전라북도 정읍시청,2022-05-19
4,우정낚시터,기타,전라북도 정읍시 소성면 소성상평로 238,전라북도 정읍시 소성면 주천리 636-5,35.5603433,126.8053888,063-533-1322,764,붕어+잉어,100,없음,1일 15000원,,구명부환+소화기+구급약품,화장실,,063-539-6236,전라북도 정읍시청,2022-05-19
5,백화낚시터,저수지,전라북도 진안군 안천면 진무로 3206,전라북도 진안군 안천면 백화리 342-8,35.9014400360,127.5741779962,063-432-5449,10134,붕어,50,낚시터 의자,"1일 20,000원",,구명부환 + 조끼,노래방,,,진안군청,2022-11-24
6,낚GO먹GO,기타,"전라북도 군산시 수송로 17, 수리야 (나운동)",전라북도 군산시 나운동 826-16 수리야,35.9682711144,126.6987552799,063-466-7959,52.77,"광어, 우럭 등",18,실내낚시터,"25,000원/시간",,구명부환+소화기+구급약품,화장실+분리수거통,,063-454-2914,전라북도 군산시청,2022-08-31
7,신시도 유료낚시터,바다,전라북도 군산시 옥도면 신시도길 40,전라북도 군산시 옥도면 신시도리 산 54,35.8181250898,126.4490188990,,285,"우럭, 도미 등",30,고정형,"20,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,신시도,063-454-2914,전라북도 군산시청,2022-08-31
8,자연을닮은사람들,저수지,,전라북도 임실군 관촌면 용산리 176-6 자연을닮은사람들,35.645866,127.286135,,1692,"향어류, 잉어류, 붕어류",20,잔교형좌대,35000원,,"소화기, 구명줄, 구명부환 등",화장실,,063-640-2684,임실군청,2022-11-29
9,호암낚시터,기타,"전라북도 임실군 신평면 호암3길 1-20, 호암사계절낚시터",전라북도 임실군 신평면 호암리 174-1 호암사계절낚시터,35.654754,127.24716,,768,"붕어류, 잉어류",30,잔교형좌대,20000원,,"소화기, 구명줄, 구명부환, 통신장비 등","화장실, 간식판매 등",,063-640-2684,임실군청,2022-11-29
