1,피싱카페낚시터,기타,"광주광역시 동구 서석로85번길 8-13, 지하1층(대의동)",광주광역시 동구 대의동 2,35.1503293324,126.9205758578,,16.62,붕어,10,고정형,"10,000원",,"소화기, 구급약품, 배수설비, 전기설비",화장실,,062-608-2724,광주광역시 동구청,2020-07-10
2,붕어의 신 실내낚시터,기타,광주광역시 동구 중앙로 157(호남동),광주광역시 동구 호남동 35-3,35.1482834401,126.9129881220,,60.2,붕어,28,고정형,"10,000원",,"소화기, 구급약품, 배수설비, 전기설비",화장실+휴게시설,,062-608-2724,광주광역시 동구청,2020-07-10
3,상무낚시터,기타,광주광역시 서구 유덕로141번길 31-1,광주광역시 서구 덕흥동 26-1,35.16357724,126.8386542,062-373-0558,380,"붕어, 잉어",20,고정형,"1일 10,000원",,구명부환+소화기+구급약품+방송설비,화장실+쓰레기통,,062-360-7373,광주광역시 서구청,2022-06-17
4,더뻐끔(실내카페),기타,광주광역시 광산구 하남대로 116 (하남동),광주광역시 광산구 하남동 799,35.179,126.806,,62,잉어류,21,해당없음,"입장료 10,000원",,방송시설 등,"화장실, 휴게실 등",,,광주광역시 광산구청,2022-06-21
5,신가리낚시터,기타,광주광역시 광산구 풍영철길로 190-23 (신가동),광주광역시 광산구 신가동 200-181,35.172,126.828,062-956-7752,1350,잉어류,120,해당없음,"어른 18,000원(2기간 기준)어린이 13,000원(2기간 기준)",,방송시설 등,화장실  등 위생설비,,,광주광역시 광산구청,2022-06-21
